arvorezinha,RS,Low_Weight
ascurra,SC,Low_Weight
assai,PR,Heavy_Weight
assare,CE,Low_Weight
assis,SP,Heavy_Weight
assis chateaubriand,PR,Low_Weight
assuncao,PB,Low_Weight
astolfo dutra,MG,Low_Weight
astorga,PR,Low_Weight
atalaia,AL,Heavy_Weight
atalanta,SC,Heavy_Weight
ataleia,MG,Heavy_Weight
atibaia,SP,Heavy_Weight
atilio vivacqua,ES,Low_Weight
augustinopolis,TO,Heavy_Weight
augusto correa,PA,Low_Weight
augusto pestana,RS,Low_Weight
aurea,RS,Heavy_Weight
auriflama,SP,Low_Weight
aurilandia,GO,Low_Weight
aurora,CE,Low_Weight
aurora,SC,Low_Weight
aurora do para,PA,Low_Weight
avai,SP,Heavy_Weight
avanhandava,SP,Heavy_Weight
avare,SP,Low_Weight
avelar,RJ,Heavy_Weight
avelino lopes,PI,Low_Weight
azurita,MG,Low_Weight
bacabal,MA,Low_Weight
bacaxa,RJ,Low_Weight
bacuri,MA,Low_Weight
bady bassitt,SP,Low_Weight
baependi,MG,Low_Weight
bage,RS,Low_Weight
baguari,MG,Low_Weight
baianopolis,BA,Low_Weight
baixa grande,BA,Low_Weight
baixa grande do ribeiro,PI,Heavy_Weight
baixo guandu,ES,Low_Weight
balbinos,SP,Low_Weight
baldim,MG,Heavy_Weight
balneario arroio do silva,SC,Low_Weight
balneario barra do sul,SC,Heavy_Weight
balneario camboriu,SC,Heavy_Weight
balneario gaivota,SC,Low_Weight
balneario picarras,SC,Low_Weight
balneario pinhal,RS,Low_Weight
balneario rincao,SC,Low_Weight
balsa nova,PR,Low_Weight
balsamo,SP,Heavy_Weight
balsas,MA,Heavy_Weight
bambui,MG,Low_Weight
banabuiu,CE,Low_Weight
bananal,SP,Heavy_Weight
bananeiras,PB,Low_Weight
bandeira,MG,Low_Weight
bandeira do sul,MG,Heavy_Weight
bandeirantes,MS,Low_Weight
bandeirantes,PR,Low_Weight
bandeirantes d'oeste,SP,Low_Weight
bandeirantes do tocantins,TO,Low_Weight
banzae,BA,Heavy_Weight
barao,RS,Low_Weight
barao ataliba nogueira,SP,Heavy_Weight
barao de cocais,MG,Heavy_Weight
barao de cotegipe,RS,Low_Weight
barao de juparana,RJ,Low_Weight
barao do triunfo,RS,Low_Weight
barauna,RN,Low_Weight
barbacena,MG,Heavy_Weight
barbalha,CE,Low_Weight
barbosa ferraz,PR,Low_Weight
barcarena,PA,Heavy_Weight
bariri,SP,Heavy_Weight
barra,BA,Heavy_Weight
barra bonita,SP,Low_Weight
barra da estiva,BA,Low_Weight
barra de guabiraba,PE,Heavy_Weight
barra de santa rosa,PB,Low_Weight
barra de santo antonio,AL,Low_Weight
barra de sao francisco,ES,Low_Weight
barra de sao joao,RJ,Low_Weight
barra de sao miguel,AL,Heavy_Weight
barra do bugres,MT,Heavy_Weight
barra do choca,BA,Heavy_Weight
barra do corda,MA,Low_Weight
barra do garcas,MT,Low_Weight
barra do jacare,PR,Low_Weight
barra do mendes,BA,Low_Weight
barra do pirai,RJ,Low_Weight
barra do ribeiro,RS,Heavy_Weight
barra do rio azul,RS,Heavy_Weight
barra do tarrachil,BA,Low_Weight
barra do turvo,SP,Heavy_Weight
barra dos coqueiros,SE,Heavy_Weight
barra longa,MG,Heavy_Weight
barra mansa,RJ,Heavy_Weight
barra velha,SC,Low_Weight
barracao,PR,Low_Weight
barracao,RS,Low_Weight
barras,PI,Low_Weight
barreira,CE,Heavy_Weight
barreiras,BA,Heavy_Weight
barreirinhas,MA,Low_Weight
barreiros,PE,Heavy_Weight
barretos,SP,Low_Weight
barrinha,SP,Heavy_Weight
barro,CE,Heavy_Weight
barro alto,BA,Low_Weight
barro alto,GO,Heavy_Weight
barro preto,BA,Low_Weight
barrocas,BA,Low_Weight
barrolandia,TO,Low_Weight
barros cassal,RS,Low_Weight
barroso,MG,Low_Weight
barueri,SP,Heavy_Weight
bastos,SP,Heavy_Weight
bataguassu,MS,Low_Weight
bataipora,MS,Low_Weight
batalha,AL,Low_Weight
batatais,SP,Low_Weight
bataypora,MS,Low_Weight
baturite,CE,Low_Weight
bauru,SP,Heavy_Weight
bayeux,PB,Low_Weight
bebedouro,SP,Heavy_Weight
beberibe,CE,Low_Weight
bela cruz,CE,Low_Weight
bela vista,MS,Heavy_Weight
bela vista de goias,GO,Low_Weight
bela vista de minas,MG,Low_Weight
bela vista do maranhao,MA,Low_Weight
bela vista do paraiso,PR,Heavy_Weight
belem,AL,Low_Weight
belem,PA,Heavy_Weight
belem,PB,Low_Weight
belem do sao francisco,PE,Heavy_Weight
belford roxo,RJ,Heavy_Weight
belmonte,BA,Low_Weight
belmonte,SC,Low_Weight
belo campo,BA,Low_Weight
belo horizonte,MG,Heavy_Weight
belo jardim,PE,Low_Weight
belo oriente,MG,Low_Weight
belo vale,MG,Heavy_Weight
bemposta,RJ,Low_Weight
benedito leite,MA,Low_Weight
benedito novo,SC,Low_Weight
benevides,PA,Heavy_Weight
bento de abreu,SP,Low_Weight
bento goncalves,RS,Heavy_Weight
bequimao,MA,Low_Weight
berilo,MG,Low_Weight
berizal,MG,Heavy_Weight
bernardino de campos,SP,Low_Weight
bertioga,SP,Heavy_Weight
bertolinia,PI,Heavy_Weight
bertopolis,MG,Low_Weight
betim,MG,Low_Weight
bezerros,PE,Heavy_Weight
bias fortes,MG,Low_Weight
bicas,MG,Low_Weight
biguacu,SC,Low_Weight
bilac,SP,Low_Weight
birigui,SP,Heavy_Weight
biritiba-mirim,SP,Heavy_Weight
biritinga,BA,Heavy_Weight
bituruna,PR,Low_Weight
blumenau,SC,Heavy_Weight
boa esperanca,ES,Heavy_Weight
boa esperanca,MG,Low_Weight
boa esperanca,PR,Heavy_Weight
boa esperanca,RJ,Heavy_Weight
boa esperanca do iguacu,PR,Low_Weight
boa esperanca do sul,SP,Heavy_Weight
boa ventura,RJ,Low_Weight
boa viagem,CE,Low_Weight
boa vista,RR,Low_Weight
boa vista da aparecida,PR,Low_Weight
boa vista das missoes,RS,Low_Weight
boa vista do burica,RS,Heavy_Weight
boa vista do cadeado,RS,Heavy_Weight
boa vista do gurupi,MA,Low_Weight
boa vista do sul,RS,Low_Weight
boca da mata,AL,Low_Weight
bocaina,PI,Heavy_Weight
bocaina,SP,Heavy_Weight
bocaiuva,MG,Heavy_Weight
bocaiuva do sul,PR,Low_Weight
bodo,RN,Low_Weight
bodoco,PE,Low_Weight
bodoquena,MS,Heavy_Weight
bofete,SP,Heavy_Weight
boituva,SP,Heavy_Weight
bom conselho,PE,Heavy_Weight
bom despacho,MG,Low_Weight
bom jardim,MA,Low_Weight
bom jardim,PE,Low_Weight
bom jardim,RJ,Heavy_Weight
bom jardim de goias,GO,Low_Weight
bom jardim de minas,MG,Low_Weight
bom jesus,GO,Low_Weight
bom jesus,PI,Low_Weight
bom jesus,SC,Heavy_Weight
bom jesus da lapa,BA,Heavy_Weight
bom jesus da penha,MG,Low_Weight
bom jesus da serra,BA,Low_Weight
bom jesus das selvas,MA,Low_Weight
bom jesus do amparo,MG,Heavy_Weight
bom jesus do araguaia,MT,Heavy_Weight
bom jesus do galho,MG,Low_Weight
bom jesus do itabapoana,RJ,Low_Weight
bom jesus do norte,ES,Low_Weight
bom jesus do querendo,RJ,Heavy_Weight
bom jesus do sul,PR,Low_Weight
bom jesus do tocantins,PA,Low_Weight
bom jesus dos perdoes,SP,Heavy_Weight
bom principio,RS,Heavy_Weight
bom repouso,MG,Heavy_Weight
bom retiro,SC,Low_Weight
bom retiro do sul,RS,Heavy_Weight
bom sucesso,MG,Heavy_Weight
bom sucesso,PR,Low_Weight
bombinhas,SC,Low_Weight
bonfim,MG,Low_Weight
bonfim,RR,Low_Weight
bonfim paulista,SP,Low_Weight
bonfinopolis,GO,Heavy_Weight
bonfinopolis de minas,MG,Low_Weight
boninal,BA,Heavy_Weight
bonito,BA,Low_Weight
bonito,MS,Low_Weight
bonito,PA,Low_Weight
bonito,PE,Heavy_Weight
bonito de minas,MG,Low_Weight
bonito de santa fe,PB,Heavy_Weight
boqueirao do leao,RS,Low_Weight
boquim,SE,Low_Weight
boquira,BA,Low_Weight
bora,SP,Heavy_Weight
boraceia,SP,Low_Weight
borborema,SP,Low_Weight
borda da mata,MG,Heavy_Weight
borrazopolis,PR,Low_Weight
bossoroca,RS,Heavy_Weight
botelho,SP,Heavy_Weight
botelhos,MG,Heavy_Weight
botucatu,SP,Heavy_Weight
botupora,BA,Heavy_Weight
botuvera,SC,Low_Weight
braco do norte,SC,Heavy_Weight
braco do rio,ES,Low_Weight
braganca,PA,Heavy_Weight
braganca paulista,SP,Heavy_Weight
bras pires,MG,Low_Weight
brasil novo,PA,Low_Weight
brasilandia,MS,Low_Weight
brasilandia de minas,MG,Low_Weight
brasileia,AC,Low_Weight
brasilia,DF,Low_Weight
brasilia de minas,MG,Heavy_Weight
brasopolis,MG,Low_Weight
brauna,SP,Low_Weight
braunas,MG,Low_Weight
brazabrantes,GO,Low_Weight
brazopolis,MG,Heavy_Weight
brejetuba,ES,Low_Weight
brejo,MA,Heavy_Weight
brejo bonito,MG,Heavy_Weight
brejo da madre de deus,PE,Low_Weight
brejo do cruz,PB,Heavy_Weight
brejo dos santos,PB,Low_Weight
brejo grande,SE,Low_Weight
brejo santo,CE,Low_Weight
brejoes,BA,Low_Weight
brejolandia,BA,Low_Weight
breu branco,PA,Low_Weight
breves,PA,Heavy_Weight
britania,GO,Low_Weight
brodowski,SP,Low_Weight
brotas,SP,Low_Weight
brotas de macaubas,BA,Low_Weight
brumadinho,MG,Low_Weight
brumado,BA,Low_Weight
brusque,SC,Low_Weight
bueno brandao,MG,Low_Weight
buenopolis,MG,Heavy_Weight
buenos aires,PE,Low_Weight
buerarema,BA,Low_Weight
bugre,MG,Heavy_Weight
buique,PE,Low_Weight
buri,SP,Heavy_Weight
buritama,SP,Heavy_Weight
buriti,MA,Low_Weight
buriti alegre,GO,Low_Weight
buriti do tocantins,TO,Low_Weight
buriti dos lopes,PI,Heavy_Weight
buriticupu,MA,Heavy_Weight
buritirama,BA,Low_Weight
buritis,MG,Heavy_Weight
buritis,RO,Heavy_Weight
buritizal,SP,Low_Weight
buritizeiro,MG,Heavy_Weight
butia,RS,Low_Weight
caarapo,MS,Heavy_Weight
cabaceiras do paraguacu,BA,Low_Weight
cabeceira grande,MG,Heavy_Weight
cabeceiras,GO,Low_Weight
cabedelo,PB,Heavy_Weight
cabixi,RO,Low_Weight
cabo de santo agostinho,PE,Heavy_Weight
cabo frio,RJ,Heavy_Weight
cabo verde,MG,Low_Weight
cabralia paulista,SP,Low_Weight
cabreuva,SP,Heavy_Weight
cabrobo,PE,Low_Weight
cacador,SC,Heavy_Weight
cacapava,SP,Low_Weight
cacapava do sul,RS,Heavy_Weight
cacaulandia,RO,Low_Weight
cacequi,RS,Heavy_Weight
caceres,MT,Heavy_Weight
cachoeira,BA,Low_Weight
cachoeira alta,GO,Heavy_Weight
cachoeira da prata,MG,Low_Weight
cachoeira de minas,MG,Low_Weight
cachoeira de pajeu,MG,Low_Weight
cachoeira do brumado,MG,Low_Weight
cachoeira do campo,MG,Heavy_Weight
cachoeira do sul,RS,Heavy_Weight
cachoeira dourada,GO,Low_Weight
